"IDStazione";"StazioneExtra";"Nome";"Comune";"Provincia";"Fiume";"Strumento";"Unita' Misura";"IDSensoreRete";"LAT [°]";"LON [°]";"GB E [m]";"GB N [m]";"Quota";"QuotaTerra"
"TOS01005131";0;"Capannoli";"Capannoli";"PI";"Era";"pluviometro";"mm";735307.0;43.5922849536088;10.6844192154688;1635999.05;4827984.59;28.61;2.0
"TOS01005131";0;"Capannoli";"Capannoli";"PI";"Era";"pluviometro";"mm";735327.0;43.5922849536088;10.6844192154688;1635999.05;4827984.59;28.61;""
"TOS03000513";0;"Capannori";"Capannori";"LU";"";"pluviometro";"mm";770107.0;43.83029;10.55726;1625237.82;4854218.13;14.0;""
"TOS01000701";0;"Capezzine";"Cortona";"AR";"";"pluviometro";"mm";744657.0;43.182868183385;11.9321179389954;1738318.78;4785312.55;326.0;2.0
"TOS03003145";0;"Capraia Isola";"Capraia Isola";"LI";"";"pluviometro";"mm";754307.0;43.062569;9.821422;1566914.84;4768106.21;274.0;2.0
"TOS02000077";0;"Cardoso";"Stazzema";"LU";"";"pluviometro";"mm";734357.0;44.0097853041409;10.3189784288406;1605760.78;4873821.11;390.0;2.0
"TOS11000096";0;"Careggine";"Careggine";"LU";"";"pluviometro";"mm";749657.0;44.104392029058;10.3369496051115;1607030.85;4884352.28;1100.0;""
"TOS11000516";0;"Casa Rota";"Terranuova Bracciolini";"AR";"";"pluviometro";"mm";753957.0;43.5855110268;11.5432949542;1705353.9;4828996.82;200.0;""
"TOS11000505";0;"Casa Sartori";"Montespertoli";"FI";"";"pluviometro";"mm";753707.0;43.6672749363993;11.0418495019913;1664647.11;4836960.45;198.0;2.0
"TOS01001781";0;"Casciana Terme";"Casciana Terme Lari";"PI";"";"pluviometro";"mm";754157.0;43.52698690411627;10.612761749792604;1630355.37;4820617.7;135.0;2.0
"TOS01001781";0;"Casciana Terme";"Casciana Terme Lari";"PI";"";"pluviometro";"mm";754177.0;43.52698690411627;10.612761749792604;1630355.37;4820617.7;135.0;""
"TOS01001225";0;"Case Passerini";"Sesto Fiorentino";"FI";"";"pluviometro";"mm";737257.0;43.8197472851772;11.1682332026888;1674393.27;4854153.6;33.0;10.0
"TOS02000221";0;"Casone di Profecchia";"Castiglione di Garfagnana";"LU";"";"pluviometro";"mm";731007.0;44.2104426681376;10.4472521952096;1615651.51;4896280.84;1297.0;2.0
"TOS02004215";0;"Casotti di Cutigliano";"Abetone Cutigliano";"PT";"Lima";"pluviometro";"mm";733907.0;44.0982033246544;10.7516992092133;1640239.7;4884287.73;593.0;2.0
"TOS02004215";0;"Casotti di Cutigliano";"Abetone Cutigliano";"PT";"Lima";"pluviometro";"mm";733927.0;44.0982033246544;10.7516992092133;1640239.7;4884287.73;593.0;""
"TOS11000013";0;"Casotto dei Pescatori";"Grosseto";"GR";"";"pluviometro";"mm";753807.0;42.768622681;11.015953945;1664964.9;4737107.82;2.0;""
"TOS11000069";0;"Castagneto Carducci";"Castagneto Carducci";"LI";"";"pluviometro";"mm";753007.0;43.1891413634;10.6277168605;1632295.9;4783120.82;95.0;""
"TOS03002515";0;"Casteani";"Gavorrano";"GR";"";"pluviometro";"mm";746007.0;42.9814657294719;10.9788393974304;1661372.62;4760672.32;59.0;2.0
"TOS03002901";0;"Castel del Piano";"Castel del Piano";"GR";"";"pluviometro";"mm";745907.0;42.8939559995409;11.5267103430462;1706336.73;4752152.02;566.0;2.0
"TOS03002901";0;"Castel del Piano";"Castel del Piano";"GR";"";"pluviometro";"mm";745927.0;42.8939559995409;11.5267103430462;1706336.73;4752152.02;566.0;2.0
"TOS01004971";0;"Castelfiorentino";"Castelfiorentino";"FI";"Elsa";"pluviometro";"mm";736407.0;43.6044841303309;10.9683985578388;1658890.65;4829843.5;50.0;2.0
"TOS01004971";0;"Castelfiorentino";"Castelfiorentino";"FI";"Elsa";"pluviometro";"mm";736427.0;43.6044841303309;10.9683985578388;1658890.65;4829843.5;50.0;2.0
"TOS03002016";0;"Castellina Marittima ";"Castellina Marittima";"PI";"";"pluviometro";"mm";747457.0;43.4104723221072;10.572811961174;1627371.46;4807615.8;325.0;2.0
"TOS03001286";0;"Castellina in Chianti";"Castellina in Chianti";"SI";"";"pluviometro";"mm";748207.0;43.4731638223604;11.2884332711639;1685121.37;4815920.67;572.0;""
"TOS03001286";0;"Castellina in Chianti";"Castellina in Chianti";"SI";"";"pluviometro";"mm";748227.0;43.4731638223604;11.2884332711639;1685121.37;4815920.67;572.0;""
"TOS01001629";0;"Castelmartini";"Larciano";"PT";"";"pluviometro";"mm";735907.0;43.82056368588484;10.82543850646968;1646824.23;4853578.79;20.0;2.0
"TOS01001629";0;"Castelmartini";"Larciano";"PT";"";"pluviometro";"mm";735927.0;43.82056368588484;10.82543850646968;1646824.23;4853578.79;20.0;2.0
"TOS11000019";0;"Castelnuovo B.ga";"Gaiole in Chianti";"SI";"";"pluviometro";"mm";750307.0;43.3697317501;11.4231991535;1696355.9;4804741.82;300.0;""
"TOS11000056";0;"Castelnuovo Val di Cecina";"Castelnovo di Val di Cecina";"PI";"";"pluviometro";"mm";740507.0;43.2042356911;10.8805790609;1652805.9;4785227.82;770.0;""
"TOS11000083";0;"Castiglion Fibocchi";"Castiglion Fibocchi";"AR";"";"pluviometro";"mm";750607.0;43.5337984929579;11.743577773816;1721713.3;4823768.03;283.0;""
"TOS01000761";0;"Castiglion Fiorentino";"Castiglion Fiorentino";"AR";"";"pluviometro";"mm";744707.0;43.3428259433164;11.9289636611938;1737439.47;4803068.86;270.0;2.0
"TOS11000058";0;"Castiglione d'Orcia";"Castiglione d' Orcia";"SI";"";"pluviometro";"mm";749407.0;42.9607929338;11.6177070299;1713535.9;4759801.82;672.0;""
"TOS01000911";0;"Cavallina";"Barberino di Mugello";"FI";"";"pluviometro";"mm";737957.0;43.9835668812516;11.2374204397202;1679464.29;4872497.11;256.0;2.0
"TOS11000002";0;"Cecina";"Cecina";"LI";"";"pluviometro";"mm";752257.0;43.351642300537;10.5227512121201;1623437.57;4801006.99;60.0;""
"TOS01001102";0;"Cercina";"Sesto Fiorentino";"FI";"";"pluviometro";"mm";736457.0;43.8442580924;11.2614957698;1681818.9;4857076.82;305.0;2.0
"TOS02000088";0;"Cerreto";"Montignoso";"MS";"";"pluviometro";"mm";731457.0;44.0301430739306;10.1718837302826;1593937.29;4875904.12;477.0;2.0
"TOS11000071";0;"Cerreto Guidi";"Cerreto Guidi";"FI";"";"pluviometro";"mm";749007.0;43.741977248676186;10.893657818982808;1652509.9;4844973.82;70.0;""
"TOS11000071";0;"Cerreto Guidi";"Cerreto Guidi";"FI";"";"pluviometro";"mm";749027.0;43.741977248676186;10.893657818982808;1652509.9;4844973.82;70.0;""
"TOS01004967";0;"Certaldo";"Certaldo";"FI";"Elsa";"pluviometro";"mm";736507.0;43.5446947082982;11.0347686363972;1664409.82;4823332.22;65.0;2.0
"TOS01004967";0;"Certaldo";"Certaldo";"FI";"Elsa";"pluviometro";"mm";736527.0;43.5446947082982;11.0347686363972;1664409.82;4823332.22;65.0;2.0
"TOS02000081";0;"Cervaiole";"Seravezza";"LU";"";"pluviometro";"mm";730307.0;44.0392623622005;10.2456092834473;1599829.91;4877003.64;1140.0;2.0
"TOS11000037";0;"Cesa";"Marciano della Chiana";"AR";"";"pluviometro";"mm";749107.0;43.308447;11.824883;1729131.99;4798959.63;246.0;2.0
"TOS02000515";0;"Chiatri";"Lucca";"LU";"";"pluviometro";"mm";732257.0;43.87355180021302;10.378825728242395;1610810.97;4858768.43;285.0;2.0
"TOS02004255";0;"Chifenti";"Borgo a Mozzano";"LU";"Lima";"pluviometro";"mm";734007.0;44.001998602535885;10.557513810656843;1624898.55;4873289.81;103.0;2.0
"TOS02004255";0;"Chifenti";"Borgo a Mozzano";"LU";"Lima";"pluviometro";"mm";734027.0;44.001998602535885;10.557513810656843;1624898.55;4873289.81;103.0;2.0
"TOS03001802";0;"Cimone - Monte Serra";"Calci";"PI";"";"pluviometro";"mm";754757.0;43.730667;10.553333;1625129.68;4843147.53;705.0;""
"TOS11000036";0;"Collesalvetti";"Collesalvetti";"LI";"";"pluviometro";"mm";748557.0;43.5838415482163;10.466719865799;1618442.34;4826713.56;15.0;""
"TOS01001831";0;"Coltano";"Pisa";"PI";"";"pluviometro";"mm";735357.0;43.6379596001223;10.3909110651838;1612221.36;4832618.77;5.0;2.0
"TOS09001143";0;"Comano";"Comano";"MS";"";"pluviometro";"mm";733007.0;44.3038545055723;10.1196072883606;1589334.19;4906247.49;734.0;2.0
"TOS09001143";0;"Comano";"Comano";"MS";"";"pluviometro";"mm";733027.0;44.3038545055723;10.1196072883606;1589334.19;4906247.49;734.0;2.0
"TOS01001041";0;"Consuma";"Rufina";"FI";"";"pluviometro";"mm";738007.0;43.7844662589114;11.5852010250092;1708048.04;4851198.64;955.0;2.3
"TOS02000483";0;"Convalle";"Pescaglia";"LU";"";"pluviometro";"mm";732207.0;43.95243386335832;10.422594664512754;1614176.69;4867589.26;285.0;2.0
"TOS03001963";0;"Corbolone";"Livorno";"LI";"";"pluviometro";"mm";759327.0;43.555333;10.399572;1613074.56;4823453.87;130.0;3.0
"TOS01000751";0;"Cortona";"Cortona";"AR";"";"pluviometro";"mm";744757.0;43.2691622531074;11.9962962617902;1743191.18;4795081.39;427.0;2.0
"TOS01000751";0;"Cortona";"Cortona";"AR";"";"pluviometro";"mm";744777.0;43.2691622531074;11.9962962617902;1743191.18;4795081.39;427.0;2.0
"TOS02000372";0;"Croce Arcana";"Abetone Cutigliano";"PT";"";"pluviometro";"mm";733557.0;44.1298825951382;10.7815355767621;1642551.71;4887857.66;1716.0;2.0
"TOS03000755";0;"Croce di Lignano";"Arezzo";"AR";"";"pluviometro";"mm";770407.0;43.40568901005921;11.882916033234958;1733465.39;4809920.62;817.0;""
"TOS29000062";0;"D7_P_S_Rossore";"Pisa";"PI";"";"termometro";"°C";766071.0;43.6733333333333;10.3475;1608655.97;4836489.71;1.25;""
"TOS01001029";0;"Dicomano";"Dicomano";"FI";"";"pluviometro";"mm";738107.0;43.8882909751591;11.5198636164914;1702439.02;4862568.18;148.0;2.0
"TOS11000003";0;"Donoratico";"Castagneto Carducci";"LI";"";"pluviometro";"mm";752707.0;43.2236283369;10.5957952341;1629628.9;4786900.82;36.0;""
"TOS01004941";0;"Empoli";"Empoli";"FI";"Arno";"pluviometro";"mm";735957.0;43.7240333904642;10.9462226281349;1656789.38;4843078.98;25.0;2.0
"TOS01004941";0;"Empoli";"Empoli";"FI";"Arno";"pluviometro";"mm";735977.0;43.7240333904642;10.9462226281349;1656789.38;4843078.98;25.0;2.0
"TOS09001220";0;"Equi Terme";"Fivizzano";"MS";"";"pluviometro";"mm";733407.0;44.1692805706621;10.150101184845;1591975.86;4891333.61;250.0;2.0
"TOS02000332";0;"Fabbriche di Vallico";"Fabbriche di Vergemoli";"LU";"";"pluviometro";"mm";734307.0;43.9995956673499;10.4321350409482;1614851.27;4872840.69;345.0;2.0
"TOS02000332";0;"Fabbriche di Vallico";"Fabbriche di Vergemoli";"LU";"";"pluviometro";"mm";734327.0;43.9995956673499;10.4321350409482;1614851.27;4872840.69;345.0;2.0
"TOS01001273";0;"Fattoria Iavello";"Montemurlo";"PO";"";"pluviometro";"mm";736557.0;43.959078;11.070017;1666107.07;4869426.51;518.0;2.0
"TOS01001129";0;"Ferrone";"Greve in Chianti";"FI";"";"pluviometro";"mm";738157.0;43.6483971513375;11.2641472665911;1682626.76;4835329.01;150.0;2.0
"TOS03001099";0;"Firenze Giardino di Boboli";"Firenze";"FI";"";"pluviometro";"mm";770207.0;43.7619444;11.2513888;1681255.23;4847912.26;112.0;""
"TOS03001097";0;"Firenze Orto Botanico";"Firenze";"FI";"";"pluviometro";"mm";740357.0;43.7795;11.26081;1681960.35;4849882.77;48.0;""
"TOS01001096";0;"Firenze Università";"Firenze";"FI";"";"pluviometro";"mm";739907.0;43.7987882049039;11.2511399388313;1681123.9;4852003.85;84.0;2.0
"TOS01001096";0;"Firenze Università";"Firenze";"FI";"";"pluviometro";"mm";739927.0;43.7987882049039;11.2511399388313;1681123.9;4852003.85;84.0;2.0
"TOS03000335";0;"Foce a Giovo";"Coreglia Antelminelli";"LU";"";"pluviometro";"mm";734857.0;44.1182556665694;10.609263777733;1628795.2;4886282.2;1674.0;2.0
"TOS03002459";0;"Follonica";"Follonica";"GR";"";"pluviometro";"mm";747857.0;42.9331;10.7654;1644082.44;4754913.42;15.0;2.0
"TOS01005005";0;"Fornacino";"San Miniato";"PI";"Egola";"pluviometro";"mm";735407.0;43.631551480279;10.8498456471217;1649255.62;4832629.73;50.0;2.0
"TOS01005005";0;"Fornacino";"San Miniato";"PI";"Egola";"pluviometro";"mm";735427.0;43.631551480279;10.8498456471217;1649255.62;4832629.73;50.0;2.0
