index,Nome,Unita' Misura,LAT [°],LON [°],GB E [m],GB N [m],Quota,06/12/2025,07/12/2025,08/12/2025,09/12/2025,10/12/2025,11/12/2025,12/12/2025,13/12/2025,14/12/2025,15/12/2025,16/12/2025,17/12/2025,18/12/2025,19/12/2025,20/12/2025,21/12/2025,22/12/2025,23/12/2025,24/12/2025,25/12/2025,26/12/2025,27/12/2025,28/12/2025,29/12/2025,30/12/2025,31/12/2025,01/01/2026,02/01/2026,03/01/2026,04/01/2026
TOS02000351,Boscolungo,mm,44.1390944545056,10.6735396385193,1633891.2,4888699.4,1345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,43.6,8.6,9.0,6.0,0.0,0.0,2.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,10.4,0.0,0.0
TOS11000008,Braccagni,mm,42.9312119898578,11.0804200172424,1669793.3,4755291.61,40.0,0.2,0.0,0.4,0.2,0.0,0.4,0.2,0.2,0.4,0.0,23.0,3.4,1.6,2.6,0.2,0.0,0.0,17.2,5.6,2.6,0.0,0.0,0.2,0.0,0.8,0.0,20.6,0.2,0.2,0.0
TOS11000067,Buonconvento,mm,43.091799982,11.4388065394,1698520.9,4773911.82,188.0,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.4,0.4,0.0,20.2,3.4,2.0,0.8,0.2,0.2,1.6,11.0,4.2,7.0,0.0,0.2,0.2,0.2,0.0,0.2,5.6,0.2,0.2,0.0
TOS02004195,Calavorno,mm,44.0197503467906,10.5351032113666,1623065.13,4875227.79,137.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.8,24.8,9.2,5.4,10.8,0.2,0.0,0.4,7.8,4.4,1.6,0.2,0.2,0.2,0.4,0.2,0.0,5.4,19.0,0.0,0.0
TOS03002551,Caldana,mm,42.8933127036581,10.9273840490634,1657401.56,4750785.23,146.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,32.6,4.6,5.6,13.0,0.0,0.0,1.2,26.8,15.8,4.0,0.0,0.0,0.0,0.0,1.8,0.0,19.8,0.0,0.0,0.0
TOS01004784,Calenzano,mm,43.8608554463453,11.154997493755,1673209.87,4858691.59,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,14.0,9.6,1.2,1.4,0.0,0.0,0.0,7.4,14.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0
TOS01005485,Calzalunga,mm,43.0674010401297,10.722643319528,1640287.61,4769755.45,45.39,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,27.4,9.2,4.2,9.8,0.2,0.0,1.2,16.8,3.4,1.4,0.0,0.0,0.2,0.2,0.6,0.2,1.2,0.6,0.4,0.0
TOS02004059,Camaiore,mm,43.9337301878544,10.2810306072755,1602849.97,4865325.84,21.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,1.4,24.6,12.6,4.4,9.8,0.2,0.0,1.4,5.6,5.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,6.4,12.2,0.0,0.0
TOS01000611,Camaldoli,mm,43.8104162589896,11.817375720978,1726632.43,4854690.83,1111.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,9.8,4.8,2.2,3.0,0.0,0.2,0.8,9.8,54.4,23.2,7.2,1.0,0.0,0.0,0.0,0.2,0.0,8.0,0.0,0.0
TOS02000241,Campagrina,mm,44.0590032512466,10.2593421936035,1600896.71,4879212.98,807.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,4.4,69.8,22.0,2.6,21.8,0.4,0.0,7.0,21.2,7.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,28.4,50.0,0.0,0.0
TOS01002779,Campiano,mm,43.1024634210867,11.038738489151,1665930.1,4774226.38,500.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,25.2,16.2,5.2,2.4,0.0,0.0,1.4,19.0,0.4,5.2,3.0,0.0,0.0,0.0,0.2,0.2,9.2,0.0,0.0,0.0
TOS11000029,Campocecina,mm,44.1164210898,10.1039108175,1588361.9,4885411.82,960.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1.2,41.8,10.8,0.2,6.4,0.0,0.0,1.8,11.2,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,8.8,12.2,0.0,0.0
TOS02004115,Camporgiano,mm,44.1629351860751,10.3384244441986,1607043.09,4890856.67,390.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,1.8,36.0,6.4,1.2,2.2,0.2,0.0,0.4,15.6,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.0,11.0,0.0,0.0
TOS11000027,Candia Scurtarola,mm,44.0477764274902,10.1095676422119,1588917.28,4877793.54,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,51.0,10.0,0.4,6.8,0.2,0.0,1.0,11.8,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,8.4,14.6,0.0,0.0
TOS02004011,Canevara,mm,44.0582926425628,10.1681212642033,1593591.47,4879026.4,105.0,0.2,0.0,0.2,0.0,0.0,0.4,0.0,0.4,0.2,2.4,64.8,8.0,0.4,8.2,0.2,0.0,2.8,12.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,21.6,0.0,0.0
TOS01002171,Canneto,mm,43.2023369745148,10.7393074035645,1641333.31,4784768.67,300.0,1.0,0.6,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,11.0,5.4,3.2,2.4,0.0,0.0,1.6,14.8,2.6,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0
TOS01001151,Cantagallo,mm,44.0216098454103,11.0794835635152,1666691.43,4876391.04,555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,6.6,3.6,11.0,0.0,0.0,0.0,14.0,8.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,12.8,0.0,0.0
TOS11000006,Capalbio,mm,42.4053981963964,11.3915663124431,1696836.87,4697575.32,12.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.0,30.4,1.2,0.2,2.6,0.0,0.2,3.6,27.6,33.0,0.0,0.0,0.0,0.2,0.2,0.8,0.0,10.8,0.0,0.0,0.0
TOS03003041,Capanne,mm,42.6908826532596,11.5467524524361,1708654.69,4729649.49,438.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,13.6,15.8,1.2,0.8,0.0,0.0,0.2,16.0,5.6,1.8,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.4,0.6,0.0
TOS02000161,Capanne di Sillano,mm,44.2560210553368,10.3096530963112,1604577.86,4901158.92,1035.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,1.0,25.8,8.2,1.0,1.0,0.0,0.0,0.2,9.6,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,12.0,0.0,0.0
TOS01005131,Capannoli,mm,43.5922849536088,10.6844192154688,1635999.05,4827984.59,28.61,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,20.8,9.4,2.4,3.6,0.0,0.0,0.2,6.6,7.4,0.8,0.0,0.0,0.2,0.2,0.0,0.0,0.0,11.0,0.0,0.0
TOS01000701,Capezzine,mm,43.182868183385,11.9321179389954,1738318.78,4785312.55,326.0,0.6,249.6,0.0,0.4,0.2,0.4,0.6,0.2,0.4,0.0,5.2,4.2,0.4,0.0,0.2,0.2,0.0,0.2,4.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.6,0.0,0.0
TOS03003145,Capraia Isola,mm,43.062569,9.821422,1566914.84,4768106.21,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,10.6,0.0,0.0,0.0,0.2,0.0,4.2,0.0,6.2,0.0,0.0
TOS02000077,Cardoso,mm,44.0097853041409,10.3189784288406,1605760.78,4873821.11,390.0,1.0,0.8,0.8,1.0,1.0,0.8,0.6,0.6,0.6,0.4,0.8,1.2,0.8,1.0,0.2,1.8,4.4,17.0,5.0,3.2,0.0,0.2,0.2,0.4,0.0,0.0,10.8,23.0,0.0,0.0
TOS11000096,Careggine,mm,44.104392029058,10.3369496051115,1607030.85,4884352.28,1100.0,0.0,0.2,0.0,0.0,0.2,0.4,0.2,0.0,0.0,2.6,39.2,9.6,2.0,6.8,0.2,0.0,0.6,14.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,8.6,16.0,0.0,0.0
TOS11000516,Casa Rota,mm,43.5855110268,11.5432949542,1705353.9,4828996.82,200.0,0.4,0.0,0.2,0.2,0.0,0.2,0.4,0.4,0.6,0.2,8.8,3.8,2.4,1.6,0.4,0.4,0.2,3.6,11.4,7.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,1.0,0.0,0.0
